"IDكودالصيانة","رقم الشاسية","تاريخ الصيانة","عداد اسود","عداد الوان","بيان الاصلاح","المهندس","قطع الغيار المطوبة","Field1"
"384","V2294501322","9/3/2022 12:00:00 AM","90152","27311","الالة تحتاج شفرة حصيرة + درام ازرق + دوبلكس الالة بدون دوبلكس","شعبان","",""
"387","L3664700269","9/3/2022 12:00:00 AM","574527","93247","صيانة دورية","شعبان","",""
"388","V1404604979","9/3/2022 12:00:00 AM","102152","17223","صيانة دورية","شعبان","",""
"389","W673K500749","9/3/2022 12:00:00 AM","107556","","صيانة دورية","شعبان","",""
"391","W512J500145","9/3/2022 12:00:00 AM","713100","373827","صيانة دورية","رضا","",""
"394","V1404401738","9/3/2022 12:00:00 AM","217508","156337","صيانة للالة","طارق","",""
"395","V9723702847","9/3/2022 12:00:00 AM","194369","166051","الالة تحتاج يونت درام + بانل للالة الاخري 1022mp","طارق","",""
"396","V7720830016","9/3/2022 12:00:00 AM","350135","308546","عداد تسليم الالة","رحيم","",""
"402","M5583500750","9/3/2022 12:00:00 AM","946370","","الالة تحتاج روال سخان علوى","ايمن","",""
"403","W3029310830","9/3/2022 12:00:00 AM","242697","","صيانة دورية","ايمن","",""
"404","M6384301390","9/3/2022 12:00:00 AM","453416","","الالة تحتاج الي حامل حبر","ايمن","",""
"405","V9714702249","9/3/2022 12:00:00 AM","148205","161683","الالة تحتاج شفرة حصيرة","ايمن","",""
"408","S3726720040 ش","9/4/2022 12:00:00 AM","674336","","صيانة دورية","شعبان","",""
"413","W503K400554","9/4/2022 12:00:00 AM","131417","107532","تم تغير مجموعة سحب الدرج الاول +صيانة دورية","مجدى","",""
"414","M6484400216","9/4/2022 12:00:00 AM","270070","","تم تغير روال علوي سخان","مجدى","",""
"415","W512J701951","9/4/2022 12:00:00 AM","481862","177293","تم التعليم علي كيفية سحب اسكنر","مجدى","",""
"417","M6493700000","9/4/2022 12:00:00 AM","552929","","صيانة دورية","مجدى","",""
"418","E174J100449","9/4/2022 12:00:00 AM","72780","42158","تم تركيب شفرة درام اسود + نصف تنك لليونت الازرق + عمل صيانة للحصيرة","شعبان","",""
